Model,Sample,Split,Metric,Value
DTC,0.9,0.7,Accuracy,0.9373243080999399
DTC,0.9,0.7,Precision,0.8937150572619161
DTC,0.9,0.7,Recall,0.8888186084406964
DTC,0.9,0.7,F1-Score,0.891239649975926
DTC,0.9,0.7,AUC,0.8888186084406964
RFC,0.9,0.7,Accuracy,0.948357448922561
RFC,0.9,0.7,Precision,0.9212097095763451
RFC,0.9,0.7,Recall,0.8966419204540426
RFC,0.9,0.7,F1-Score,0.9082927744943678
RFC,0.9,0.7,AUC,0.8966419204540425
XGB,0.9,0.7,Accuracy,0.9537394688360347
XGB,0.9,0.7,Precision,0.9272810086065038
XGB,0.9,0.7,Recall,0.9105787460068913
XGB,0.9,0.7,F1-Score,0.918643124076626
XGB,0.9,0.7,AUC,0.9105787460068913
LR,0.9,0.6,Accuracy,0.8552039992547973
LR,0.9,0.6,Precision,0.7831833405117874
LR,0.9,0.6,Recall,0.6413036648727899
LR,0.9,0.6,F1-Score,0.6738296484065187
LR,0.9,0.6,AUC,0.64130366487279
KNN,0.9,0.6,Accuracy,0.8774483015587158
KNN,0.9,0.6,Precision,0.8357405785903653
KNN,0.9,0.6,Recall,0.696675071702985
KNN,0.9,0.6,F1-Score,0.7372164783340456
KNN,0.9,0.6,AUC,0.696675071702985
DTC,0.9,0.6,Accuracy,0.9353226106936595
DTC,0.9,0.6,Precision,0.890017744512827
DTC,0.9,0.6,Recall,0.885601223285554
DTC,0.9,0.6,F1-Score,0.8877871183004341
DTC,0.9,0.6,AUC,0.885601223285554
RFC,0.9,0.6,Accuracy,0.9481090480034776
RFC,0.9,0.6,Precision,0.9213266003762459
RFC,0.9,0.6,Recall,0.8954213012605643
RFC,0.9,0.6,F1-Score,0.907670288584153
RFC,0.9,0.6,AUC,0.8954213012605645
XGB,0.9,0.6,Accuracy,0.9535738682233125
XGB,0.9,0.6,Precision,0.9264732714647448
XGB,0.9,0.6,Recall,0.9108779668087446
XGB,0.9,0.6,F1-Score,0.9184252047013663
XGB,0.9,0.6,AUC,0.9108779668087446
LR,0.9,0.5,Accuracy,0.8556811915324884
LR,0.9,0.5,Precision,0.7832244779057538
LR,0.9,0.5,Recall,0.6424755252175952
LR,0.9,0.5,F1-Score,0.6751417720210771
LR,0.9,0.5,AUC,0.6424755252175952
KNN,0.9,0.5,Accuracy,0.8752105203018575
KNN,0.9,0.5,Precision,0.8315566533134533
KNN,0.9,0.5,Recall,0.6897741438484568
KNN,0.9,0.5,F1-Score,0.7299672777784612
KNN,0.9,0.5,AUC,0.6897741438484568
DTC,0.9,0.5,Accuracy,0.9342580494517778
DTC,0.9,0.5,Precision,0.8870678745736231
DTC,0.9,0.5,Recall,0.8852102587086792
DTC,0.9,0.5,F1-Score,0.8861350814828706
DTC,0.9,0.5,AUC,0.8852102587086792
RFC,0.9,0.5,Accuracy,0.9474605910962953
RFC,0.9,0.5,Precision,0.9201096298240141
RFC,0.9,0.5,Recall,0.8940020416212384
RFC,0.9,0.5,F1-Score,0.9063395870541054
RFC,0.9,0.5,AUC,0.8940020416212383
XGB,0.9,0.5,Accuracy,0.9524162017417915
XGB,0.9,0.5,Precision,0.9253346954984822
XGB,0.9,0.5,Recall,0.907375383276068
XGB,0.9,0.5,F1-Score,0.9160221208472735
XGB,0.9,0.5,AUC,0.907375383276068
LR,0.7,0.9,Accuracy,0.8551490666368586
LR,0.7,0.9,Precision,0.785583608972163
LR,0.7,0.9,Recall,0.641715292071146
LR,0.7,0.9,F1-Score,0.6744415302617157
LR,0.7,0.9,AUC,0.6417152920711459
KNN,0.7,0.9,Accuracy,0.864267122303307
KNN,0.7,0.9,Precision,0.8347634828079799
KNN,0.7,0.9,Recall,0.6460100912279885
KNN,0.7,0.9,F1-Score,0.684028978830012
KNN,0.7,0.9,AUC,0.6460100912279884
DTC,0.7,0.9,Accuracy,0.9366047618287211
DTC,0.7,0.9,Precision,0.8929908460037739
DTC,0.7,0.9,Recall,0.8876647881058108
DTC,0.7,0.9,F1-Score,0.8902954660616877
DTC,0.7,0.9,AUC,0.8876647881058107
RFC,0.7,0.9,Accuracy,0.9492518723152835
RFC,0.7,0.9,Precision,0.9246766402758961
RFC,0.7,0.9,Recall,0.8966230977572767
RFC,0.7,0.9,F1-Score,0.9098292552589178
RFC,0.7,0.9,AUC,0.8966230977572766
XGB,0.7,0.9,Accuracy,0.9552081503600913
XGB,0.7,0.9,Precision,0.9301242842937337
XGB,0.7,0.9,Recall,0.9134455946186475
XGB,0.7,0.9,F1-Score,0.9215004028224534
XGB,0.7,0.9,AUC,0.9134455946186476
LR,0.7,0.8,Accuracy,0.855516343835332
LR,0.7,0.8,Precision,0.7870328531686337
LR,0.7,0.8,Recall,0.6420210056808764
